	baseMean	log2FoldChange	lfcSE	pvalue	padj
CDH3	1514.5089854221242	7.188709842545751	0.40096682080076945	5.266846918438149e-76	8.842509291365808e-72
GYLTL1B	1236.554808912086	5.674997332716142	0.36684747210826324	1.2018534170961607e-56	1.008895850981372e-52
C2CD4A	543.9411211763911	5.388572785249184	0.3646409044092929	3.293406970015566e-51	1.8431003206530444e-47
RP11-474D1.3	428.3580643057995	9.312236057627912	0.6446422748296499	7.640727022054382e-50	3.207004149331776e-46
MMP7	1078.7016608323445	8.553332500570631	0.5995798073458697	2.128313339874702e-49	7.146450532631275e-46
CST1	982.8109034019147	9.974090494105013	0.797160553222321	1.2673253834926374e-44	3.546187643909648e-41
TRIM29	2029.2202000276573	5.072388591539739	0.3831156382636857	6.546097561252469e-43	1.5700347422266814e-39
GRIN2D	908.3472599420943	5.253925501245706	0.4080488470100335	2.6040975384863673e-41	5.465024196705953e-38
KLK10	737.470876087277	4.311382977349344	0.32869092515998327	1.0122347717190161e-40	1.888267731376729e-37
KRT80	682.2824337400197	6.276819996282881	0.5225221679939407	2.7277556373517644e-39	4.5796289395498777e-36
COMP	581.7598672558199	7.047469469456557	0.5846297480570892	5.8586884029413515e-39	8.941956326998396e-36
MMP11	3691.5917895906055	5.0680462864160365	0.4105228229981342	1.3386505900334516e-38	1.8728837296726346e-35
FOXQ1	1984.19606863464	7.037002348355209	0.6262883045323729	6.860328954208127e-38	8.859850985553865e-35
TG	174.69304879400556	5.244776122320177	0.41907957304046034	2.229561519750754e-37	2.673722025363958e-34
INHBA	511.3988570307569	5.256239201088369	0.43576656217222964	9.08521559735215e-37	1.016877897759635e-33
CPNE7	524.0554171360368	5.131438698745116	0.44317625519583287	3.5644995338935544e-34	3.74027391715868e-31
CEMIP	2198.3047669806974	5.254400823637036	0.46655552342702133	4.32104819265148e-34	4.2674163592015115e-31
ETV4	2048.247604884037	5.306529461629837	0.484101804511296	5.541190934493353e-33	5.1683919221782715e-30
COL11A1	731.0634680399573	5.663716845686985	0.5185596517311202	2.844795620641662e-32	2.4997933193406375e-29
TRIB3	2446.8369221538455	4.660620244612479	0.4176629655488963	2.9778942394909017e-32	2.4997933193406375e-29
CLDN1	2217.1982955966278	5.644728884192355	0.5317551012692245	3.7542257149521814e-32	3.0014140727777225e-29
