	baseMean	log2FoldChange	lfcSE	pvalue	padj
RP11-474D1.3	428.3580643057995	9.178133833534444	0.5939081417777657	1.3649298229962707e-54	2.2623711816163185e-50
CDH3	1514.5089854221242	7.240485875474772	0.5307732350817486	9.23112531926112e-44	7.650295108337653e-40
MMP11	3691.5917895906055	5.176798398647598	0.4059121269788803	1.8426636827750202e-38	1.0180716847331986e-34
WNT2	200.40936938895118	5.7361493044331375	0.4633396147053353	1.8357789492980195e-36	7.607009021153669e-33
ATG9B	165.54927143665103	4.310813539908166	0.3492750000877535	2.897242726402523e-36	9.604359638024364e-33
CEMIP	2198.3047669806974	5.345004338628524	0.4487914441004297	6.104610978718768e-34	1.6863987828710597e-30
SPTBN2	784.826206367567	3.1624755265332216	0.26688081029514843	1.5030936138801534e-33	3.559110950009078e-30
GYLTL1B	1236.554808912086	5.805921083057685	0.49353836271732116	3.394461091322382e-33	7.032899073583561e-30
C2CD4A	543.9411211763911	5.453214020252407	0.4727089446395218	5.12220857304065e-32	9.433400788683197e-29
TRIB3	2446.8369221538455	4.814900730629483	0.42763764095623086	1.258391343428891e-30	2.0857836517333867e-27
TGFBI	27398.632181553934	3.9068270947994104	0.3594021026547496	1.2063181754664676e-28	1.8177021598506092e-25
FOXQ1	1984.19606863464	7.47249991604035	0.6967007799143091	4.172236722986188e-28	5.7629019736246725e-25
CLDN1	2217.1982955966278	5.492677211818288	0.535901230113751	6.951674244839849e-26	8.863384662170807e-23
TG	174.69304879400556	5.328778731402043	0.532286194098196	6.7219074037796995e-25	7.958258229832036e-22
COMP	581.7598672558199	7.568780526697601	0.7694360239016669	2.9973406806816116e-24	3.3120614521531808e-21
RNF43	6090.758529711871	2.336222297892056	0.237250086256187	8.124261668777748e-24	8.416227322499448e-21
VWA2	435.16130158145916	4.1328271393772	0.4248703991723727	1.3517538876000326e-23	1.3179600404100317e-20
GRIN2D	908.3472599420943	5.093055448460392	0.5266104260449526	2.2578883100336672e-23	2.0791388188226687e-20
PLAU	1587.336843500252	2.4285022050215743	0.2512788253336371	4.324770906031015e-23	3.7727935667086356e-20
MAFG-AS1	122.13430901844245	3.3786733895220995	0.36087468946802764	5.161518929726469e-22	4.2776088130108116e-19
INHBA	511.3988570307569	5.324532272229175	0.5744257349730912	9.789777670410339e-22	7.726931661288161e-19
KRT80	682.2824337400197	5.932870293450844	0.6420494507579939	1.3683573106653676e-21	1.030932837467203e-18
ESM1	69.6477878698523	4.562570138627099	0.4974700474345247	2.6999976686902742e-21	1.9457591895017957e-18
