	baseMean	log2FoldChange	lfcSE	pvalue	padj
FABP6	538.9759766295323	7.593253735731119	0.5994284004578128	2.229382284527286e-38	3.7016663452291054e-34
ETV4	2955.9250924151643	6.270790771408579	0.521189674553814	1.3036930971411282e-34	1.0823260092465646e-30
IER5L	467.20006137458824	3.154898634867037	0.28249547850908735	4.0985792416212774e-30	2.268426990929323e-26
KRT80	1009.9850496529748	8.018150087441951	0.7248636251670909	1.1532066852255391e-29	4.7869609503712127e-26
FUT1	262.9077871838396	3.3442279961201926	0.32126546139749	1.334135882561665e-26	4.430398438810778e-23
C17orf96	228.65440254496986	3.52483114566835	0.34290191829574296	6.98641729262958e-26	1.933374545447026e-22
CLDN1	2113.9828527428313	5.3794687111015485	0.5310600150712997	2.3162284322737996e-25	5.494093841353452e-22
ATG9B	249.17666694784992	4.651233658982191	0.465711982180797	1.0082516118467659e-24	2.0926262203879625e-21
KIAA1257	127.9770539444109	4.456400701696427	0.4585747223500667	1.4669155416257434e-23	2.6872238907383883e-20
SLC51B	1123.9231857697098	-3.886817952255215	0.39995234868504675	1.618419592109364e-23	2.6872238907383883e-20
MT1H	821.1561433807498	-5.780512270548895	0.5957750104725177	2.0903096925200467e-23	3.155227466782078e-20
CDH3	2380.6626085084667	5.822791709305583	0.6028416094760931	2.572489166993349e-23	3.559467510729797e-20
ESM1	118.98605731266026	6.394632474635848	0.6647472204306479	4.605116194295487e-23	5.881796099237097e-20
COL10A1	518.276349276231	8.062246550655404	0.8449003744020386	5.2646685354640665e-23	6.243896883060382e-20
MMP11	3532.2265256475457	5.415543423836977	0.5658904236762217	6.006273281429532e-23	6.648544104323731e-20
PDX1	228.99316973580912	3.8219979273146425	0.4017859204689349	1.3047287596339613e-22	1.3539822703101434e-19
KRT23	1793.8098425450669	8.090665905031274	0.8562041084777836	1.7024417024871768e-22	1.6627848251821815e-19
DPEP1	11816.943977677698	8.834317580153268	0.9386300986517112	2.256051384123102e-22	2.0810820656655548e-19
TESC	924.192428234444	4.443693190221972	0.4723058652236837	4.078411184186316e-22	3.5641020685384e-19
GRIN2D	1548.2977753681214	5.896027305569664	0.6479664640948455	4.833649032647876e-21	4.0128954269042675e-18
COL11A1	490.7849170697414	5.4431920730551715	0.6002189908475072	6.119023268915377e-21	4.8381077312890915e-18
MT1G	6176.082868647964	-4.515308448001795	0.500748818831632	1.1016356895673557e-20	7.952851734598423e-18
MT1X	1594.129829878611	-3.4514002551157636	0.3814844831793795	1.0658761313057883e-20	7.952851734598423e-18
ELFN1-AS1	225.43002034944476	5.329961222799241	0.5920010399136739	1.2925181209211485e-20	8.942071199906146e-18
NOTUM	1680.213284958293	9.857597545996393	1.1027859508289841	1.5688790413789288e-20	1.0419867041222294e-17
CEMIP	3172.0659607529383	5.713440694458371	0.6404743074108329	2.539953111073287e-20	1.62205313293311e-17
LEMD1	75.70866242014657	5.807270847194804	0.6506771751526105	3.068142781881357e-20	1.886794175939187e-17
FXYD5	2424.8689081003345	2.1591972987702093	0.2411622869562111	3.8774035968542384e-20	2.2993003329345632e-17
SLC13A3	291.8035542540121	5.18848351320371	0.592281605291472	8.534074265067289e-20	4.723325636572576e-17
FOXQ1	1216.8083066795155	7.0814624031402635	0.8059127702282285	8.357828990066158e-20	4.723325636572576e-17
TACSTD2	977.2379479410426	5.533336346023407	0.6304816510106361	8.998048288077723e-20	4.819470766943307e-17
COMP	810.4380405166712	7.0959569333135875	0.8170396423073393	1.4574871805353982e-19	7.562536608003047e-17
PRR36	285.59991468423345	4.63123374992976	0.533803436831147	2.318079074163521e-19	1.166344998406397e-16
SHISA2	104.10491952670414	4.058079902554063	0.46918605293836063	3.930458321933911e-19	1.9194508816879607e-16
NR3C2	2233.8783643897823	-3.6470433501248003	0.42311842217269435	4.4269858918184615e-19	2.100162107078678e-16
SULT1B1	4756.776802441005	-3.7599968508624264	0.43482162686582476	4.872311342474766e-19	2.24721826473475e-16
CNTD2	192.63772917998295	6.123647293803811	0.7152345092395773	5.177263663277018e-19	2.262191733290832e-16
MT1F	1092.6519824960603	-3.187718750965851	0.37083508874172405	5.143324834792487e-19	2.262191733290832e-16
SNHG17	1499.6671987247998	3.1979648516014016	0.3710634125294782	5.368820442898349e-19	2.2857408880483124e-16
MMP7	1008.7281742202758	7.6681315652357105	0.898136000550755	6.305853212797256e-19	2.617559668632141e-16
SULT2B1	1364.9562529154634	5.535773228093637	0.6472007779805532	6.492582360362956e-19	2.6293375002796717e-16
INHBA	656.2055914605887	5.46496057688398	0.6410237017405434	7.805113183970812e-19	3.0856214120631277e-16
WNT2	206.73871331293992	6.059846052215576	0.7160422361659518	9.729175250317325e-19	3.7568192059597413e-16
LMTK3	217.88488137304375	3.4490262216602314	0.4059638160305147	1.4395019451408644e-18	5.311442288248647e-16
CGREF1	755.3378572164663	3.85647593832174	0.4550211924949999	1.4196038225216557e-18	5.311442288248647e-16
HAGHL	536.7145841151221	4.874108905012979	0.5835698213832003	3.9086107671799675e-18	1.4108385473533953e-15
TMEM236	1777.8982438101498	-4.466462515335289	0.535689864509803	4.329873067109363e-18	1.5296428171549757e-15
MSX2	323.75236495045743	5.636784383683011	0.6836692772050416	7.099034672560927e-18	2.4556744104833673e-15
CITED1	63.729787907931986	4.022255163078472	0.48611975938456015	7.369480504395817e-18	2.497201108060982e-15
TRIB3	3044.952389805809	4.981151294816275	0.6172090478529568	3.898454185966027e-17	1.2945986660755982e-14
CLCA4	14972.317082654048	-7.297853186589082	0.9205910380299334	8.930814444611251e-17	2.907593000751475e-14
HHLA2	3630.017384312735	-3.582533466571248	0.4503694993734701	1.0924226777801271e-16	3.4881896426656214e-14
GYLTL1B	1217.3285213440677	4.807893432848444	0.6052621555064502	1.1182128765570053e-16	3.5031710570476443e-14
GTF2IRD1	1724.1319876405605	2.5609654702519546	0.3258939825776463	3.1854630192795914e-16	9.444897852163989e-14
PRR7	321.24716045226245	4.262331262434053	0.5452861297365466	3.1578867383487792e-16	9.444897852163989e-14
TNFRSF12A	1469.6362729845566	3.262096948195009	0.41564077161568364	3.124610963321897e-16	9.444897852163989e-14
MNX1-AS1	136.89766612231932	3.190915515243773	0.4101798749897705	5.333369169138663e-16	1.5536010821820762e-13
S100A2	131.15054436202828	3.7425055753745884	0.48499917213904364	6.427718393403257e-16	1.8401006242080634e-13
AMH	188.07378590312817	5.74411383363766	0.7470746602742729	7.662250208712738e-16	2.156339024838412e-13
AJUBA	374.8942910934182	2.760178766497677	0.35785648904293427	9.020800893536654e-16	2.49635630060471e-13
P2RY1	925.7252348529074	-3.00480717614562	0.39270424745442695	1.3097699270858671e-15	3.5651507982514324e-13
BEST4	1347.4299364620242	-5.663850511308671	0.7436724846814281	1.5101949315346844e-15	4.0443994585809514e-13
SLC25A34	281.6383931938972	-4.318859818290267	0.5683212508171556	2.182107907043164e-15	5.751066617229317e-13
REEP6	571.2765225119767	2.3821410315499256	0.3138530555094483	2.888370832954388e-15	7.49351707974604e-13
TOP1MT	1448.1040204638573	1.964603819085072	0.25848386246158894	3.3226437510992887e-15	8.487565668192705e-13
CST2	59.70988177508948	6.536078396445016	0.8711764668606574	3.673925379686096e-15	9.242705606713323e-13
LGALS9C	376.50494942096077	-3.930473038704208	0.5288238624395408	5.8249862726045204e-15	1.4435533144824695e-12
SULT1A2	283.3323181313085	-3.724525943683896	0.503902391148259	1.0535394845417707e-14	2.5724955296075826e-12
SLC4A11	142.27355812378238	3.8777606093257075	0.5281454045630573	1.3678929943933059e-14	3.29166598245021e-12
SIM2	174.4169308695493	3.9461558798543868	0.5411855783944561	1.75359969619347e-14	4.159538479370911e-12
PLEKHN1	75.79491451019176	3.6396570062865448	0.4976407302465581	2.008189673443584e-14	4.696335399698207e-12
ULBP2	89.62243384018096	5.29990997033437	0.7317293026477958	2.4617059022729534e-14	5.676967333519461e-12
FAM83H-AS1	649.9444398940236	2.8178150538676885	0.3871685610006094	2.6170769554293842e-14	5.952595310678012e-12
RHPN1	933.0673694637595	4.169211904206495	0.5763889776545107	2.7543115331147835e-14	6.1800795534916035e-12
