	Spearman	pvalue
A1BG	-0.2778	0.0033
A1BG-AS1	-0.1289	0.1796
A2M	0.539	0.0
A2M-AS1	0.0591	0.5395
A2ML1	0.0018	0.9851
A4GALT	0.6712	0.0
AAAS	0.0579	0.5479
AACS	-0.2799	0.0031
AADAT	-0.0801	0.4056
AAED1	0.2837	0.0027
AAGAB	0.0032	0.9733
AAK1	0.041	0.6705
AAMDC	0.3609	0.0001
AAMP	0.1891	0.0479
AAR2	0.2598	0.0061
AARD	-0.2183	0.022
AARS	0.3758	0.0001
AARS2	-0.2095	0.0281
AARSD1	-0.183	0.0557
AASDH	-0.7112	0.0
AASDHPPT	-0.5101	0.0
AASS	-0.3533	0.0002
AATBC	-0.1763	0.0654
AATF	0.2762	0.0035
AATK	0.134	0.163
AB019441.29	-0.105	0.2751
ABALON	0.0586	0.5428
ABAT	-0.3194	0.0007
ABCA1	0.2185	0.0218
ABCA10	0.0028	0.9771
ABCA11P	-0.2702	0.0043
ABCA12	-0.2214	0.0201
ABCA17P	-0.3943	0.0
ABCA2	0.1073	0.2646
ABCA3	-0.0324	0.7371
ABCA4	-0.1427	0.137
ABCA5	-0.5537	0.0
ABCA6	0.2729	0.0039
ABCA7	0.3734	0.0001
ABCA8	0.3609	0.0001
ABCA9	0.2707	0.0042
ABCB1	-0.3756	0.0001
ABCB10	-0.0649	0.5006
ABCB4	0.3933	0.0
ABCB6	0.1521	0.1127
ABCB7	-0.3496	0.0002
ABCB8	0.4088	0.0
ABCB9	-0.0405	0.6746
ABCC1	0.3803	0.0
ABCC10	-0.0426	0.6589
ABCC11	-0.2674	0.0047
ABCC2	0.1683	0.0789
ABCC3	0.2553	0.0071
ABCC4	0.3627	0.0001
ABCC5	-0.1628	0.0894
ABCC6	0.3564	0.0001
ABCC8	-0.2235	0.0189
ABCC9	0.2291	0.0161
ABCD1	0.4008	0.0
ABCD2	0.2143	0.0246
ABCD3	-0.5015	0.0
ABCD4	0.4853	0.0
ABCE1	-0.3137	0.0008
ABCF1	0.3713	0.0001
ABCF2	0.3933	0.0
ABCF3	0.2454	0.0098
ABCG1	0.4369	0.0
ABCG2	-0.1658	0.0834
ABHD1	0.1052	0.2739
ABHD10	-0.2131	0.0254
ABHD11	-0.1516	0.1139
ABHD11-AS1	0.103	0.2844
ABHD12	0.6223	0.0
ABHD12B	0.2282	0.0165
ABHD13	-0.2622	0.0056
ABHD14A	0.4375	0.0
ABHD14B	0.1722	0.072
ABHD15	0.3477	0.0002
ABHD16A	-0.0167	0.8628
ABHD17A	0.4122	0.0
ABHD17B	-0.3998	0.0
ABHD17C	-0.3417	0.0003
ABHD2	-0.1494	0.1194
ABHD3	0.0934	0.3316
ABHD4	0.3776	0.0
ABHD5	0.058	0.5472
ABHD6	0.4664	0.0
ABHD8	0.2004	0.0358
ABI1	-0.2243	0.0185
ABI2	-0.5242	0.0
ABI3	0.7709	0.0
ABI3BP	0.4458	0.0
ABL1	0.4549	0.0
ABL2	0.2222	0.0196
ABLIM1	0.2242	0.0186
ABLIM2	0.6077	0.0
ABLIM3	0.3345	0.0004
ABO	0.0079	0.9345
ABR	0.3956	0.0
ABRACL	0.1645	0.0858
ABT1	0.015	0.8763
ABTB1	0.2919	0.002
ABTB2	-0.0153	0.8741
AC000068.5	-0.4145	0.0
AC000089.3	-0.0201	0.8351
AC000123.2	-0.3147	0.0008
AC000123.3	0.1302	0.1752
AC000123.4	0.1008	0.2948
AC000403.4	0.0981	0.3079
AC002116.7	-0.2972	0.0016
AC002310.12	-0.1749	0.0677
AC002310.14	-0.0251	0.7949
AC002398.13	0.0585	0.5441
AC002467.7	0.0462	0.6316
AC002550.6	-0.2071	0.0299
AC003973.3	-0.1353	0.1587
AC004067.5	0.2434	0.0104
AC004076.5	-0.2912	0.002
AC004166.6	0.1262	0.1891
AC004381.6	-0.2438	0.0103
AC004447.2	0.1118	0.2447
AC004453.8	-0.0582	0.546
AC004538.3	0.2728	0.0039
AC004540.5	0.3859	0.0
AC004754.3	0.243	0.0105
AC004893.11	-0.2679	0.0047
AC004951.5	0.0836	0.385
AC004967.7	-0.0554	0.5657
AC004980.7	-0.0101	0.9169
AC004987.9	-0.1481	0.1226
AC005042.4	-0.3471	0.0002
AC005076.5	0.0761	0.4296
AC005077.12	-0.3856	0.0
AC005077.14	-0.2193	0.0214
AC005082.12	0.067	0.4866
AC005083.1	-0.2837	0.0027
